credit_note_id,credit_note_ref,ebay_order,credit_amount,credit_date,source_invoice_id,source_invoice_ref,source_invoice_total,source_invoice_paid_flag,source_invoice_payment_lines,source_invoice_payment_count,source_invoice_paid_amount,source_invoice_payment_details,credit_available_or_applied,credit_discount_rows,credit_discount_amount,credit_discount_details,module_cn_count_for_source_invoice,module_cn_amount_for_source_invoice,module_cn_refs_for_source_invoice,invoice_count_for_order,invoice_refs_for_order,module_only_bucket,module_only_reason,expected_net_payment_after_credit,note_private
6373,IC2606-0888,24-14542-47427,1.04,2026-06-24,1424,IN2604-1382,20.97,1,1,1,20.97,309:PAY2604-0305:7462176191:20.97:2026-04-28,no,0,0.00000000,,1,1.04,IC2606-0888,1,IN2604-1382,wrong_repairable_module_credit_not_applied,Module-created credit note was validated but never made available/applied; single invoice + single payment line.,19.93,Auto-created via eBay reconciliation. eBay order: 24-14542-47427. Source invoice: IN2604-1382 (id 1424).
6374,IC2606-0889,24-14546-47243,3.65,2026-06-24,1749,IN2604-1514,72.36,1,1,1,72.36,310:PAY2604-0306:7462176191:72.36:2026-04-28,no,0,0.00000000,,1,3.65,IC2606-0889,1,IN2604-1514,wrong_repairable_module_credit_not_applied,Module-created credit note was validated but never made available/applied; single invoice + single payment line.,68.71,Auto-created via eBay reconciliation. eBay order: 24-14546-47243. Source invoice: IN2604-1514 (id 1749).
6375,IC2606-0890,24-14552-12489,0.5,2026-06-24,1726,IN2604-1492,9.91,1,1,1,9.91,311:PAY2604-0307:7462176191:9.91:2026-04-28,no,0,0.00000000,,1,0.5,IC2606-0890,1,IN2604-1492,wrong_repairable_module_credit_not_applied,Module-created credit note was validated but never made available/applied; single invoice + single payment line.,9.41,Auto-created via eBay reconciliation. eBay order: 24-14552-12489. Source invoice: IN2604-1492 (id 1726).
6376,IC2606-0891,25-14514-35856,22.86,2026-06-24,1218,IN2604-1205,742.34,1,1,1,742.34,313:PAY2604-0309:7462176191:742.34:2026-04-28,no,0,0.00000000,,1,22.86,IC2606-0891,1,IN2604-1205,wrong_repairable_module_credit_not_applied,Module-created credit note was validated but never made available/applied; single invoice + single payment line.,719.48,Auto-created via eBay reconciliation. eBay order: 25-14514-35856. Source invoice: IN2604-1205 (id 1218).
6377,IC2606-0892,25-14511-96305,0.51,2026-06-24,1169,IN2604-1157,9.39,1,1,1,9.39,312:PAY2604-0308:7462176191:9.39:2026-04-28,no,0,0.00000000,,1,0.51,IC2606-0892,1,IN2604-1157,wrong_repairable_module_credit_not_applied,Module-created credit note was validated but never made available/applied; single invoice + single payment line.,8.88,Auto-created via eBay reconciliation. eBay order: 25-14511-96305. Source invoice: IN2604-1157 (id 1169).
6378,IC2606-0893,25-14517-45207,0.66,2026-06-24,1235,IN2604-1222,12.82,1,1,1,12.82,314:PAY2604-0310:7462176191:12.82:2026-04-28,no,0,0.00000000,,1,0.66,IC2606-0893,1,IN2604-1222,wrong_repairable_module_credit_not_applied,Module-created credit note was validated but never made available/applied; single invoice + single payment line.,12.16,Auto-created via eBay reconciliation. eBay order: 25-14517-45207. Source invoice: IN2604-1222 (id 1235).
6380,IC2606-0894,25-14523-11344,0.51,2026-06-24,1360,IN2604-1336,10.86,1,1,1,10.86,317:PAY2604-0313:7462176191:10.86:2026-04-28,no,0,0.00000000,,1,0.51,IC2606-0894,1,IN2604-1336,wrong_repairable_module_credit_not_applied,Module-created credit note was validated but never made available/applied; single invoice + single payment line.,10.35,Auto-created via eBay reconciliation. eBay order: 25-14523-11344. Source invoice: IN2604-1336 (id 1360).
6381,IC2606-0895,25-14525-46663,0.88,2026-06-24,1393,IN2604-1364,17.98,1,1,1,17.98,318:PAY2604-0314:7462176191:17.98:2026-04-28,no,0,0.00000000,,1,0.88,IC2606-0895,1,IN2604-1364,wrong_repairable_module_credit_not_applied,Module-created credit note was validated but never made available/applied; single invoice + single payment line.,17.1,Auto-created via eBay reconciliation. eBay order: 25-14525-46663. Source invoice: IN2604-1364 (id 1393).
6382,IC2606-0896,26-14510-27431,1.72,2026-06-24,1168,IN2604-1156,35.79,1,1,1,35.79,319:PAY2604-0315:7462176191:35.79:2026-04-28,no,0,0.00000000,,1,1.72,IC2606-0896,1,IN2604-1156,wrong_repairable_module_credit_not_applied,Module-created credit note was validated but never made available/applied; single invoice + single payment line.,34.07,Auto-created via eBay reconciliation. eBay order: 26-14510-27431. Source invoice: IN2604-1156 (id 1168).
6383,IC2606-0897,26-14517-66093,13.35,2026-06-24,1278,IN2604-1263,281.43,1,1,1,281.43,320:PAY2604-0316:7462176191:281.43:2026-04-28,no,0,0.00000000,,1,13.35,IC2606-0897,1,IN2604-1263,wrong_repairable_module_credit_not_applied,Module-created credit note was validated but never made available/applied; single invoice + single payment line.,268.08,Auto-created via eBay reconciliation. eBay order: 26-14517-66093. Source invoice: IN2604-1263 (id 1278).
